Company,Model,RMSE,MAE,MASE,MAPE,Directional Accuracy
Glencore,Random Walk,0.10556072501961453,0.07841333333333335,1.0005381033376024,1.53452765687808,46.461949265687586
Glencore,Random Walk + Drift,0.10558437914774414,0.07849062564869695,1.0015243374808154,1.5361123914450352,46.5954606141522
Glencore,Selected ARX,0.10563466481168643,0.0785674826179536,1.0025050166967011,1.5364704746103102,48.99866488651535
Glencore,VMD-GRU,0.22166761960829345,0.17326737873455658,2.2108563316955183,3.421964110626473,47.12950600801068
Glencore,VMD-LASSO-ARX/LSTM,0.1814558952134046,0.14244035844228337,1.8175098547173578,2.8039492407320297,47.53004005340454
Glencore,VMD-LSTM,0.23338399211983626,0.17944902817347907,2.2897329148248855,3.5463147975857283,47.396528704939925
Glencore,XGBoost,0.11151670029610412,0.08321016918182372,1.0617447481497566,1.6209369319098499,48.865153538050734
Rio Tinto,ARIMA,1.355454819458968,1.0281592603084855,0.9977938231837878,1.266037751849464,53.271028037383175
Rio Tinto,CEEMDAN-LSTM,3.285850533682955,2.5777826664397416,2.501650980911348,3.1537321731963464,51.134846461949266
Rio Tinto,Elastic Net,1.3632310638221616,1.0323207929179052,1.0018324499733875,1.2696164793592515,51.802403204272366
Rio Tinto,GRU,3.109224696586852,1.9174631842079373,1.8608332339592577,2.222650300503909,51.134846461949266
Rio Tinto,Histogram Gradient Boosting,2.7182487542301015,1.5827976585431824,1.5360516488178104,1.8082269408793898,46.728971962616825
Rio Tinto,LASSO,1.3632310638221616,1.0323207929179052,1.0018324499733875,1.2696164793592515,51.802403204272366
Rio Tinto,LSTM,3.2267401249518914,2.1845397641505295,2.120022030939809,2.578754005126389,52.46995994659546
Rio Tinto,LightGBM,2.807162265091018,1.6767593649729249,1.6272383101753862,1.924844450889688,46.5954606141522
Rio Tinto,Random Forest,2.1825667303538454,1.4325015443977491,1.390194348171757,1.6783416112875174,49.93324432576769
Rio Tinto,Random Walk,1.3608416395745684,1.029448,0.9990445015110919,1.2674398857055138,51.802403204272366
Rio Tinto,Random Walk + Drift,1.3609659495256656,1.0294687438621115,0.9990646327283877,1.2674914896687097,51.802403204272366
