Target,Mode,Selected Features,LASSO Alpha,Validation MSE,Model,ARIMA Order,Route
lithium_hydroxide,VMD-K8-A1500 / C8,target_1 | target_2 | target_3 | News_FinBERT_Score | News_Article_Count | VIX | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 1)",ARIMA
lithium_hydroxide,VMD-K8-A1500 / C9,target_1 | target_5 | target_2 | target_4 | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 0, 3)",ARIMA
lithium_hydroxide,VMD-K8-A3000 / C1,target_1 | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 2, 2)",ARIMA
lithium_hydroxide,VMD-K8-A3000 / C2,target_1,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,SVR
lithium_hydroxide,VMD-K8-A3000 / C3,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K8-A3000 / C4,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 2)",ARIMA
lithium_hydroxide,VMD-K8-A3000 / C5,target_2 | target_4 | target_5 | target_1 | VIX | News_TextBlob_Polarity | News_Article_Count | News_FinBERT_Score | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 3)",ARIMA
lithium_hydroxide,VMD-K8-A3000 / C6,target_2 | target_1 | target_4 | target_5 | target_3 | News_Article_Count | VIX | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 0, 2)",ARIMA
lithium_hydroxide,VMD-K8-A3000 / C7,target_1 | target_2 | News_FinBERT_Score | VIX | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K8-A3000 / C8,target_1 | target_2 | target_3 | target_5 | News_Article_Count | News_FinBERT_Score | VIX | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 0, 4)",ARIMA
lithium_hydroxide,VMD-K8-A3000 / C9,target_1 | target_3 | target_4 | Cross_Lithium_Close | target_2,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,SVR
lithium_hydroxide,VMD-K8-A4500 / C1,target_1 | Cross_Lithium_Close | Ganfeng_Lithium_Close | Albemarle_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 2, 2)",ARIMA
lithium_hydroxide,VMD-K8-A4500 / C2,target_1,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K8-A4500 / C3,target_1 | target_5 | Ganfeng_Lithium_Close | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K8-A4500 / C4,target_1 | target_2 | target_4 | target_5 | News_TextBlob_Polarity | Trends_lithium_hydroxide | Cross_Lithium_Close | VIX | News_Article_Count | News_FinBERT_Score,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K8-A4500 / C5,target_2 | target_4 | target_3 | target_1 | Trends_lithium_hydroxide | News_TextBlob_Polarity | Cross_Lithium_Close | VIX | News_Article_Count | Trends_lithium_carbonate,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(5, 0, 0)",ARIMA
lithium_hydroxide,VMD-K8-A4500 / C6,target_2 | target_1 | target_5 | target_3 | target_4 | News_Article_Count | VIX | Cross_Lithium_Close | US_Dollar_Index | News_TextBlob_Polarity | News_FinBERT_Score | Trends_lithium_hydroxide,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 3)",ARIMA
lithium_hydroxide,VMD-K8-A4500 / C7,target_1 | target_2 | target_4 | target_5 | VIX | Trends_lithium_hydroxide | News_TextBlob_Polarity | Cross_Lithium_Close | News_FinBERT_Score | US_Dollar_Index,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(5, 0, 3)",ARIMA
lithium_hydroxide,VMD-K8-A4500 / C8,target_1 | target_2 | target_3 | target_5 | News_FinBERT_Score | News_Article_Count | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,SVR
lithium_hydroxide,VMD-K8-A4500 / C9,target_1 | target_2 | target_3 | target_4 | target_5 | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,SVR
lithium_hydroxide,VMD-K9-A1500 / C1,target_1 | Cross_Lithium_Close | target_4 | target_5 | target_3 | target_2,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K9-A1500 / C2,target_1 | SP500,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 2, 2)",ARIMA
lithium_hydroxide,VMD-K9-A1500 / C3,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K9-A1500 / C4,target_1 | target_3 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX | News_TextBlob_Polarity | Trends_lithium_carbonate | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(5, 0, 3)",ARIMA
lithium_hydroxide,VMD-K9-A1500 / C5,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K9-A1500 / C6,target_2 | target_4 | target_5 | target_1 | VIX | Cross_Lithium_Close | News_Article_Count,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 4)",ARIMA
lithium_hydroxide,VMD-K9-A1500 / C7,target_2 | target_1 | target_5 | News_FinBERT_Score,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 5)",ARIMA
lithium_hydroxide,VMD-K9-A1500 / C8,target_1 | target_2 | News_FinBERT_Score | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(5, 0, 3)",ARIMA
lithium_hydroxide,VMD-K9-A1500 / C9,target_1 | target_2 | target_3 | target_5 | News_FinBERT_Score | Cross_Lithium_Close | News_TextBlob_Polarity | News_Article_Count | VIX,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K9-A1500 / C10,target_1 | target_5 | target_2 | target_3 | target_4 | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(5, 0, 3)",ARIMA
lithium_hydroxide,VMD-K9-A3000 / C1,target_1 | Cross_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(5, 2, 0)",ARIMA
lithium_hydroxide,VMD-K9-A3000 / C2,target_1,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,SVR
lithium_hydroxide,VMD-K9-A3000 / C3,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
