,^GSPC,000001.SS,CL=F,^VIX,DX-Y.NYB
,Close,Close,Close,Close,Close
Date,,,,,
2014-05-21,1888.030029296875,2024.9510498046875,104.06999969482422,11.90999984741211,80.0999984741211
2014-05-22,1892.489990234375,2021.2850341796875,103.73999786376953,12.029999732971191,80.25
2014-05-23,1900.530029296875,2034.5689697265625,104.3499984741211,11.359999656677246,80.38999938964844
2014-05-26,,2041.4759521484375,,,
2014-05-27,1911.9100341796875,2034.56494140625,104.11000061035156,11.510000228881836,80.3499984741211
2014-05-28,1909.780029296875,2050.22802734375,102.72000122070312,11.680000305175781,80.56999969482422
2014-05-29,1920.030029296875,2040.594970703125,103.58000183105469,11.569999694824219,80.48999786376953
2014-05-30,1923.5699462890625,2039.2120361328125,102.70999908447266,11.399999618530273,80.37000274658203
2014-06-02,1924.969970703125,,102.47000122070312,11.579999923706055,80.63999938964844
2014-06-03,1924.239990234375,2038.3050537109375,102.66000366210938,11.869999885559082,80.55000305175781
2014-06-04,1927.8800048828125,2024.833984375,102.63999938964844,12.079999923706055,80.66999816894531
2014-06-05,1940.4599609375,2040.8780517578125,102.4800033569336,11.680000305175781,80.37000274658203
2014-06-06,1949.43994140625,2029.9560546875,102.66000366210938,10.729999542236328,80.41000366210938
2014-06-09,1951.27001953125,2030.501953125,104.41000366210938,11.149999618530273,80.6500015258789
2014-06-10,1950.7900390625,2052.531982421875,104.3499984741211,10.989999771118164,80.81999969482422
2014-06-11,1943.8900146484375,2054.947998046875,104.4000015258789,11.600000381469727,80.79000091552734
2014-06-12,1930.1099853515625,2051.712890625,106.52999877929688,12.5600004196167,80.58000183105469
2014-06-13,1936.1600341796875,2070.715087890625,106.91000366210938,12.180000305175781,80.58000183105469
2014-06-16,1937.780029296875,2085.98291015625,106.9000015258789,12.649999618530273,80.47000122070312
2014-06-17,1941.989990234375,2066.697998046875,106.36000061035156,12.0600004196167,80.62999725341797
2014-06-18,1956.97998046875,2055.51904296875,105.97000122070312,10.609999656677246,80.58000183105469
2014-06-19,1959.47998046875,2023.7349853515625,106.43000030517578,10.619999885559082,80.31999969482422
2014-06-20,1962.8699951171875,2026.6739501953125,107.26000213623047,10.850000381469727,80.37000274658203
2014-06-23,1962.6099853515625,2024.364990234375,106.16999816894531,10.979999542236328,80.26000213623047
2014-06-24,1949.97998046875,2033.9310302734375,106.02999877929688,12.130000114440918,80.33000183105469
2014-06-25,1959.530029296875,2025.501953125,106.5,11.59000015258789,80.22000122070312
