Date,Close,High,Low
2012-09-20,0.396,0.396,0.396
2012-09-21,0.404,0.404,0.404
2012-09-24,0.402,0.402,0.402
2012-09-25,0.401,0.401,0.401
2012-09-26,0.391,0.391,0.391
2012-09-27,0.397,0.397,0.397
2012-09-28,0.404,0.404,0.404
2012-10-01,0.404,0.404,0.404
2012-10-02,0.404,0.404,0.404
2012-10-03,0.408,0.408,0.408
2012-10-04,0.406,0.406,0.406
2012-10-05,0.418,0.418,0.418
2012-10-08,0.399,0.399,0.399
2012-10-09,0.4,0.4,0.4
2012-10-10,0.406,0.406,0.406
2012-10-11,0.409,0.409,0.409
2012-10-12,0.413,0.413,0.413
2012-10-15,0.406,0.406,0.406
2012-10-16,0.409,0.409,0.409
2012-10-17,0.415,0.415,0.415
2012-10-18,0.417,0.417,0.417
2012-10-19,0.412,0.412,0.412
2012-10-22,0.41,0.41,0.41
2012-10-23,0.41,0.41,0.41
2012-10-24,0.41,0.41,0.41
2012-10-25,0.41,0.41,0.41
2012-10-26,0.39,0.39,0.39
2012-10-29,0.4,0.4,0.4
2012-10-30,0.403,0.403,0.403
2012-10-31,0.403,0.403,0.403
2012-11-01,0.406,0.406,0.406
2012-11-02,0.405,0.405,0.405
2012-11-05,0.396,0.396,0.396
2012-11-06,0.397,0.397,0.397
2012-11-07,0.422,0.422,0.422
2012-11-08,0.412,0.412,0.412
2012-11-09,0.417,0.417,0.417
2012-11-12,0.414,0.414,0.414
2012-11-13,0.406,0.406,0.406
2012-11-14,0.409,0.409,0.409
2012-11-15,0.404,0.404,0.404
2012-11-16,0.399,0.399,0.399
2012-11-19,0.404,0.404,0.404
2012-11-20,0.403,0.403,0.403
2012-11-21,0.406,0.406,0.406
2012-11-22,0.405,0.405,0.405
2012-11-23,0.404,0.404,0.404
2012-11-26,0.404,0.404,0.404
2012-11-27,0.401,0.401,0.401
2012-11-28,0.4,0.4,0.4
2012-11-29,0.397,0.397,0.397
2012-11-30,0.403,0.403,0.403
2012-12-03,0.399,0.399,0.399
2012-12-04,0.395,0.395,0.395
2012-12-05,0.392,0.392,0.392
2012-12-06,0.395,0.395,0.395
2012-12-07,0.396,0.396,0.396
2012-12-10,0.397,0.397,0.397
2012-12-11,0.396,0.396,0.396
2012-12-12,0.401,0.401,0.401
2012-12-13,0.404,0.404,0.404
2012-12-14,0.406,0.406,0.406
2012-12-17,0.404,0.404,0.404
2012-12-18,0.403,0.403,0.403
2012-12-19,0.405,0.405,0.405
2012-12-20,0.396,0.396,0.396
2012-12-21,0.382,0.382,0.382
2012-12-24,0.391,0.391,0.391
2012-12-27,0.391,0.391,0.391
2012-12-28,0.391,0.391,0.391
2012-12-31,0.394,0.394,0.394
2013-01-02,0.404,0.404,0.404
