Date,Close,High,Low
2016-01-26,3.45,3.45,3.45
2016-01-27,3.43,3.43,3.43
2016-01-28,3.76,3.76,3.76
2016-01-29,3.75,3.75,3.75
2016-02-01,3.75,3.75,3.75
2016-02-02,3.45,3.45,3.45
2016-02-03,3.79,3.79,3.79
2016-02-04,4.55,4.55,4.55
2016-02-05,5.0,5.0,5.0
2016-02-08,5.15,5.15,5.15
2016-02-09,4.59,4.59,4.59
2016-02-10,4.51,4.51,4.51
2016-02-11,4.34,4.34,4.34
2016-02-12,5.15,5.15,5.15
2016-02-15,5.39,5.39,5.39
2016-02-16,5.4,5.4,5.4
2016-02-17,6.35,6.35,6.35
2016-02-18,5.88,5.88,5.88
2016-02-19,5.97,5.97,5.97
2016-02-22,6.5,6.5,6.5
2016-02-23,6.03,6.03,6.03
2016-02-24,5.42,5.42,5.42
2016-02-25,5.6,5.6,5.6
2016-02-26,5.93,5.93,5.93
2016-02-29,6.35,6.35,6.35
2016-03-01,6.51,6.51,6.51
2016-03-02,7.01,7.01,7.01
2016-03-03,7.18,7.18,7.18
2016-03-04,8.0,8.0,8.0
2016-03-07,8.51,8.51,8.51
2016-03-08,7.17,7.17,7.17
2016-03-09,7.16,7.16,7.16
2016-03-10,6.82,6.82,6.82
2016-03-11,7.04,7.04,7.04
2016-03-14,7.42,7.42,7.42
2016-03-15,6.55,6.55,6.55
2016-03-16,6.67,6.67,6.67
2016-03-17,7.44,7.44,7.44
2016-03-18,7.64,7.64,7.64
2016-03-21,7.5,7.5,7.5
2016-03-22,7.46,7.46,7.46
2016-03-23,7.02,7.02,7.02
2016-03-24,6.73,6.73,6.73
2016-03-29,6.54,6.54,6.54
2016-03-30,7.31,7.31,7.31
2016-03-31,7.53,7.53,7.53
2016-04-01,7.27,7.27,7.27
2016-04-04,7.41,7.41,7.41
2016-04-05,7.07,7.07,7.07
2016-04-06,7.01,7.01,7.01
2016-04-07,6.75,6.75,6.75
2016-04-08,7.34,7.34,7.34
2016-04-11,7.91,7.91,7.91
2016-04-12,8.66,8.66,8.66
2016-04-13,9.57,9.57,9.57
2016-04-14,9.28,9.28,9.28
2016-04-15,9.14,9.14,9.14
2016-04-18,9.4,9.4,9.4
2016-04-19,10.28,10.28,10.28
2016-04-20,10.78,10.78,10.78
2016-04-21,10.16,10.16,10.16
2016-04-22,10.02,10.02,10.02
2016-04-25,9.34,9.34,9.34
2016-04-26,9.24,9.24,9.24
2016-04-27,9.62,9.62,9.62
2016-04-28,10.45,10.45,10.45
2016-04-29,10.59,10.59,10.59
2016-05-03,9.19,9.19,9.19
