Target,Model,Scheme,Transaction Cost,Cumulative Return (%),Average Daily Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
lithium_carbonate,VMD-LSTM,Scheme 2',0.001,9.79986805738915,0.0932968773866816,-0.1000000000000058,2.572308392019923,8,3.92156862745098
lithium_hydroxide,ARIMA,Scheme 1,0.0,157.8438511996695,0.99509000461423,-10.548977395048423,3.440685104447836,21,40.0
lithium_hydroxide,ARIMA,Scheme 1',0.0,15.19199785154852,0.1419147888471824,-5.934987878014557,1.8508753149116857,18,7.6190476190476195
lithium_hydroxide,ARIMA,Scheme 2,0.001,147.5743627342037,0.9560423855666104,-10.548977395048457,3.3054547520370714,21,40.0
lithium_hydroxide,ARIMA,Scheme 2',0.001,13.039609354037186,0.1238195507519443,-6.407925897167265,1.6281674682159106,18,7.6190476190476195
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 1,0.0,266.11407947169687,1.3286812737505134,-3.4521158129175764,4.681872905562242,56,47.61904761904761
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 1',0.0,202.34277872003477,1.143573639298792,-1.7565112053301055,4.040927162738054,35,22.857142857142858
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 2,0.001,227.83599654211025,1.2229669880362273,-3.6521158129175855,4.293035789563303,56,47.61904761904761
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 2',0.001,189.18298300233536,1.1007164964416494,-1.9565112053301088,3.890007501831058,35,22.857142857142858
lithium_hydroxide,CEEMDAN-LSTM,Scheme 1,0.0,100.05785584039316,0.7534940386601787,-16.060153009135057,2.5793622481152902,14,32.38095238095238
lithium_hydroxide,CEEMDAN-LSTM,Scheme 1',0.0,0.0,0.0,0.0,0.0,0,0.0
lithium_hydroxide,CEEMDAN-LSTM,Scheme 2,0.001,94.90372234984522,0.727779752945893,-16.060153009135046,2.5018848591342837,14,32.38095238095238
lithium_hydroxide,CEEMDAN-LSTM,Scheme 2',0.001,0.0,0.0,0.0,0.0,0,0.0
lithium_hydroxide,ELM,Scheme 1,0.0,-48.57740961989304,-0.4968359194878808,-50.80489868341,-1.6881006934408038,20,25.71428571428571
lithium_hydroxide,ELM,Scheme 1',0.0,-38.924548052992,-0.3434505193001685,-45.01665595063153,-1.223754025243778,22,10.476190476190476
lithium_hydroxide,ELM,Scheme 2,0.001,-50.53948031532695,-0.5339787766307381,-52.34826508421977,-1.816920630401298,20,25.71428571428571
lithium_hydroxide,ELM,Scheme 2',0.001,-40.48681053503592,-0.3682124240620733,-46.21076376842871,-1.3132789648304386,22,10.476190476190476
lithium_hydroxide,ES,Scheme 1,0.0,-62.03339519395898,-0.7850593690015629,-64.12698607766404,-2.6904857121466974,1,23.809523809523807
lithium_hydroxide,ES,Scheme 1',0.0,-59.99977168145908,-0.7359319904231829,-62.49959805778664,-2.524372544065605,3,21.904761904761905
lithium_hydroxide,ES,Scheme 2,0.001,-62.07136179876503,-0.7860117499539437,-64.12698607766404,-2.693838425867225,1,23.809523809523807
lithium_hydroxide,ES,Scheme 2',0.001,-60.11913653745741,-0.7387891332803259,-62.57456136126913,-2.5345566717076573,3,21.904761904761905
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1,0.0,183.87798023722547,1.0864768659354904,-8.386709854737951,3.773902491151273,16,41.90476190476191
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1',0.0,164.58094946827754,1.014988672500306,-8.38670985473794,3.5933123490917467,25,30.47619047619048
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2,0.001,175.3199915510664,1.0569530564116807,-8.573212372653899,3.673011117874476,16,41.90476190476191
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2',0.001,156.8527676939729,0.9864172439288772,-8.571481152582223,3.493611985080821,25,30.47619047619048
lithium_hydroxide,LSTM,Scheme 1,0.0,112.99053103440788,0.8132622857402816,-16.086316643046263,2.7901009151372578,18,34.285714285714285
lithium_hydroxide,LSTM,Scheme 1',0.0,-3.3469038538523237,-0.0270684644681945,-10.013350710069268,-0.4191258338825288,4,1.9047619047619049
lithium_hydroxide,LSTM,Scheme 2,0.001,105.75048796447273,0.7799289524069486,-16.08631664304626,2.6777154124489098,18,34.285714285714285
