Target,Ablation,Mode,Route,LASSO Alpha,LASSO Validation MSE,Selected Feature Count,Selected Features,Empty-selection Fallback,ARIMA Order
lithium_carbonate,history_plus_cross_lithium,2,ARIMA observed-test apply path,0.016600000000000007,5.310170293684044e-06,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_plus_cross_lithium,3,LSTM source sequence-major layout,0.001,3.549249043116578e-05,3,target_1 | target_5 | Cross_Lithium_Close,False,
lithium_carbonate,history_plus_cross_lithium,4,LSTM source sequence-major layout,0.001,0.00010276075936715561,3,target_1 | target_5 | Cross_Lithium_Close,False,
lithium_carbonate,history_plus_cross_lithium,5,LSTM source sequence-major layout,0.001,0.0006564731629589641,4,target_1 | target_3 | target_4 | Cross_Lithium_Close,False,
lithium_carbonate,history_plus_cross_lithium,6,LSTM source sequence-major layout,0.001,0.0014464072133227822,6,target_2 | target_3 | target_5 | target_4 | target_1 | Cross_Lithium_Close,False,
lithium_carbonate,history_plus_cross_lithium,7,LSTM source sequence-major layout,0.001,0.0026919155204428403,6,target_1 | target_2 | target_5 | target_3 | target_4 | Cross_Lithium_Close,False,
lithium_carbonate,history_plus_cross_lithium,8,LSTM source sequence-major layout,0.001,0.0025994312857488457,5,target_1 | target_2 | target_3 | target_4 | Cross_Lithium_Close,False,
lithium_carbonate,history_plus_equities,1,ARIMA observed-test apply path,0.0026000000000000007,8.665527357197231e-07,7,target_1 | Albemarle_Close | target_5 | target_4 | target_3 | target_2 | Ganfeng_Lithium_Close,False,"(5, 0, 2)"
lithium_carbonate,history_plus_equities,2,ARIMA observed-test apply path,0.016600000000000007,5.310170293684044e-06,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_plus_equities,3,LSTM source sequence-major layout,0.001,2.773659112851914e-05,3,target_1 | target_5 | Ganfeng_Lithium_Close,False,
lithium_carbonate,history_plus_equities,4,LSTM source sequence-major layout,0.001,0.00010404602247674025,3,target_1 | target_5 | Ganfeng_Lithium_Close,False,
