Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
lithium_hydroxide,Random Walk,80.0,55.23809523809524,0.10000000000000142,0.10000000000000142,24.761904761904763,2.1190476190476173
lithium_hydroxide,Random Walk,90.0,60.952380952380956,0.17999999999999972,0.17999999999999972,29.047619047619044,3.8752380952380965
lithium_hydroxide,Random Walk,95.0,94.28571428571428,1.7600000000000011,1.7600000000000011,0.7142857142857117,4.697142857142859
lithium_hydroxide,SVR,80.0,14.285714285714285,7.962960057140588,7.962960057140588,65.71428571428572,23.4946998926346
lithium_hydroxide,SVR,90.0,42.857142857142854,9.51373319033469,9.51373319033469,47.142857142857146,29.043999431928377
lithium_hydroxide,SVR,95.0,44.761904761904766,9.622291871971667,9.622291871971667,50.23809523809524,47.468217203428146
lithium_hydroxide,VMD-ARIMA,80.0,1.9047619047619049,3.3879382168627186,3.3879382168627186,78.0952380952381,43.8670646795042
lithium_hydroxide,VMD-ARIMA,90.0,13.333333333333334,3.7222988835240223,3.7222988835240223,76.66666666666667,81.54474075484195
lithium_hydroxide,VMD-ARIMA,95.0,16.19047619047619,3.9208243438468746,3.9208243438468746,78.80952380952381,156.15979928951523
lithium_hydroxide,VMD-LSTM,80.0,11.428571428571429,2.8089057922363274,2.8089057922363274,68.57142857142857,42.871478834606364
lithium_hydroxide,VMD-LSTM,90.0,16.19047619047619,3.1229792785644546,3.1229792785644546,73.80952380952381,80.56878455025809
lithium_hydroxide,VMD-LSTM,95.0,55.23809523809524,8.57533149719238,8.57533149719238,39.76190476190475,104.89433774312336
